name	rating	user_ratings_total	types	address	latitude	longitude
오구쌀피자	4.1	7	"['restaurant', 'point_of_interest', 'food', 'establishment']"	대전 중구 문화동 569-21	36.3072507	127.3983804
피자스쿨	4.4	29	"['restaurant', 'point_of_interest', 'food', 'establishment']"	대전 중구 문화동 1-270	36.317551	127.4120079
교촌치킨	3.5	23	"['restaurant', 'point_of_interest', 'food', 'establishment']"	대전 중구 중촌동 12-5	36.3377855	127.4131824
내집식당	4.3	262	"['restaurant', 'point_of_interest', 'food', 'establishment']"	대전 중구 대흥동 409-7	36.325248	127.4249965
5.5닭갈비 오류점	3.9	134	"['restaurant', 'point_of_interest', 'food', 'establishment']"	대전 중구 오류동 159-3	36.3224414	127.4084975
국수나무	3.7	38	"['restaurant', 'point_of_interest', 'food', 'establishment']"	대전 중구 문화동 1-55	36.320458	127.41025
둘둘치킨	4.3	54	"['meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']"	대전 중구 문화동 1-71	36.3202494	127.4124065
왕관식당	4.1	362	"['restaurant', 'point_of_interest', 'food', 'establishment']"	대전 동구 중동 3-30	36.3335975	127.4275715
굽네치킨	4.4	5	"['restaurant', 'point_of_interest', 'food', 'establishment']"	대전 중구 태평동 330-20	36.3244802	127.3964856
피자2001	3.7	7	"['restaurant', 'point_of_interest', 'food', 'establishment']"	대전 중구 대흥동 508-88	36.3228604	127.4226554
틈새라면	3.8	5	"['restaurant', 'point_of_interest', 'food', 'establishment']"	대전 중구 은행동 48-4	36.3286931	127.4272382
금성삼계탕	3.9	280	"['restaurant', 'point_of_interest', 'food', 'establishment']"	대전 동구 중동 32-14	36.332111	127.4287488
사리원면옥	3.5	1307	"['restaurant', 'point_of_interest', 'food', 'establishment']"	대전 중구 대흥동 188-5	36.3261235	127.4265729
교촌치킨대사부사점	3.6	33	"['restaurant', 'point_of_interest', 'food', 'establishment']"	대전 중구 대사동 69-53	36.318361	127.429766
풍미식당	4.2	198	"['restaurant', 'point_of_interest', 'food', 'establishment']"	대전 중구 대흥동 533-8	36.3226381	127.4172948
봉추찜닭은행점	3.4	9	"['restaurant', 'point_of_interest', 'food', 'establishment']"	대전 중구 은행동 170-46	36.3273633	127.4283392
쿠켄	4	76	"['restaurant', 'point_of_interest', 'food', 'establishment']"	대전 중구 선화동 24	36.3290607	127.4228389
피자스쿨 대전태평점	4.2	27	"['restaurant', 'point_of_interest', 'food', 'establishment']"	대전 중구 유천동 197-1	36.3221084	127.3969093
본죽	3.9	47	"['restaurant', 'point_of_interest', 'food', 'establishment']"	대전 중구 은행동 139-9	36.328943	127.4257938
다사랑치킨	3.7	3	"['meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']"	대전 중구 은행동 52-5	36.3287486	127.4284325
굽네치킨	3.7	17	"['restaurant', 'point_of_interest', 'food', 'establishment']"	대전 중구 선화동 137-7	36.3317658	127.4208819
문화점굽네치킨	3.5	8	"['restaurant', 'point_of_interest', 'food', 'establishment']"	대전 중구 문화동 418-1	36.3135382	127.4047988
중촌죽전문점	3	3	"['restaurant', 'point_of_interest', 'food', 'establishment']"	대전 중구 중촌동 403-1	36.3371362	127.4127949
페리카나 태평2점	4.3	35	"['restaurant', 'point_of_interest', 'food', 'establishment']"	대전 중구 태평동 334-7	36.3261651	127.3974077
만나	4.3	439	"['restaurant', 'point_of_interest', 'food', 'establishment']"	대전 중구 대흥동 442	36.3237999	127.4273515
멕시카나 세이점	5	1	"['meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']"	대전 중구 문화동 795	36.3187218	127.4141841
바다황제	3.9	730	"['restaurant', 'point_of_interest', 'food', 'establishment']"	대전 중구 대흥동 458-1	36.3253448	127.4244767
다사랑치킨 중촌점	3.9	40	"['restaurant', 'point_of_interest', 'food', 'establishment']"	대전 중구 중촌동 402-8	36.3374936	127.4132202
하루끼	3.7	9	"['restaurant', 'point_of_interest', 'food', 'establishment']"	대전 중구 문화동 1-16	36.3209715	127.4089346
대전대흥점새마을식당	4	76	"['restaurant', 'point_of_interest', 'food', 'establishment']"	대전 중구 대흥동 477-1	36.3262211	127.4240163
다도해횟집	3.6	18	"['restaurant', 'point_of_interest', 'food', 'establishment']"	대전 중구 선화동 361-2	36.3297222	127.4194444
페리카나 선화동세무서점	2	1	"['meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']"	대전 중구 선화동 280-1	36.3301013	127.4203418
현암기사식당	3.9	986	"['restaurant', 'point_of_interest', 'food', 'establishment']"	대전 동구 삼성동 326-5	36.3385232	127.421165
삼양사 대전지점	4	1	"['restaurant', 'food', 'point_of_interest', 'establishment']"	대전 동구 가양동 288-3	36.3437749	127.4431529
더조은피자	5	1	"['restaurant', 'food', 'point_of_interest', 'establishment']"	대전 동구 자양동 65-2	36.3357482	127.4484304
도미노피자 송촌점	4	55	"['restaurant', 'food', 'point_of_interest', 'establishment']"	대전 대덕구 중리동 118-15	36.362181	127.4343967
굽네치킨	3.3	12	"['restaurant', 'food', 'point_of_interest', 'establishment']"	대전 동구 가양동 49-19	36.3510869	127.45188
