이름,종류,주소
솔로몬로파크,문화명소,대전 유성구 엑스포로 219-39
엑스포다리(야경),문화명소,대전 유성구 엑스포로 85
밀쌈마을,생태환경명소,대전 유성구 세동로 44-14
갑천 수상스포츠,생태환경명소,대전 서구 만년동 397
목척교,생태환경명소,대전 중구 은행동 55-8
무수천하마을,생태환경명소,대전 중구 무수동 247-1
보문산,생태환경명소,대전 중구 문화동 산 18-1
선창마을,생태환경명소,대전 유성구 계백로93번길 111
구봉산,생태환경명소,대전 서구 괴곡동 산 55
만인산 자연휴양림,생태환경명소,대전 동구 산내로 106
찬샘마을,생태환경명소,대전 동구 냉천로 703
식장산,생태환경명소,대전 동구 세천동 358
장동산림욕장,생태환경명소,대전 대덕구 산디로 79-70
계족산,생태환경명소,대전 대덕구 산디로 79-70
 대청호 두메마을,생태환경명소,대전 대덕구 대청호수로1326번길 97
수통골 유원지,생태환경명소,대전 유성구 계산동 667-1
만인산,생태환경명소,동구 하소동
테미공원,생태환경명소,대전 중구 보문로199번길 37-36
대전보훈공원,생태환경명소,대전 중구 보훈로 46
유림공원,생태환경명소,대전 유성구 어은로 27
대덕사이언스길,생태환경명소,대전 유성구 대덕대로 480
대청호 자연생태관,생태환경명소,대전 동구 천개동로 41
국가핵융합연구소(NFRI),과학명소,대전 유성구 과학로 169-148
한국화학연구원(KRICT),과학명소,대전 유성구 과학로 169-148
한국에너지기술연구원(KIER),과학명소,대전 유성구 가정로 152
한국생명공학연구원(KRIBB),과학명소,대전 유성구 과학로 125
특허청 발명교육센터(창의발명체험관),과학명소,대전 유성구 과학로 82
한국원자력연구원(KAERI),과학명소,대전 유성구 대덕대로989번길 111
한밭도서관,문화명소,대전 중구 서문로 10
캠프향기 캠핑장,생태환경명소,대전 동구 산내로 710
꿈꾸는 농부 오토캠핑장,생태환경명소,대전 동구 산내로 716
하기숲 캠핑장,생태환경명소,대전광역시 유성구 하기동 259
대전곤충생태관,생태환경명소,대전 서구 둔산대로 191
현대프리미엄아울렛 대전,문화명소,대전 유성구 테크노중앙로 123
